objectid,filename,youtubeid,title,format,description,transcription,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,image_small,image_thumb,rights,rightsstatement,type,language,relation
p-2-01,p-2-01.pdf,,"Postcard of state capitol building in Carson City, Nevada (1942)",application/pdf,Illustration. Color. Capitol building with trees and walkway ,"Transcription Recto: (NA). Transcription Verso: Got your card, Shake, Sure I will exchange cards with you, What's doing around Scarboro, Are there any farmers & what do they raise. Thanks & hurry back. Oliver, Solseth,",Oliver Solseth,Mrs. Elien Moulton,1942-08-20,,postcard; personal correspondence,Utah; Ogden; United States; Maine; Scarboro; Building,"United States, Maine, Scarboro",43.5667,-70.3167,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-01,objects/small/p-2-01_sm.jpg,objects/thumbs/p-2-01_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
p-2-02,p-2-02.pdf,,Postcard of Niagara Falls (1920),application/pdf,"Illustration. Color. Niagra Falls, showing buildings and forest ",Transcription Recto: (NA). Transcription Verso: Niagara Falls 30 mai 1920. Chere Madame. Enfin j'ai vu la merveille! C'est ma}gnifique tant les chutes que les rapides. Bon souvenir a vous et Mr. Bernet,illegible,Mrs. Bernet,1920-05-31,,postcard; personal correspondence,Ontario; Niagara Falls; France; Seine et Oise; Enghein les Bains; naturescape,"France, Seine et Oise, Enghein les Bains",48.75,2,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-02,objects/small/p-2-02_sm.jpg,objects/thumbs/p-2-02_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,French,
p-2-03,p-2-03.pdf,,Thanksgiving postcard with turkey and little girl (1910),application/pdf,Illustration. Color. A Turkey (left) facing a girl (right) dressed in a bonnet and dress and holding a stalk of corn,"Transcription Recto: (NA). Transcription Verso: November 23, 1910.  Wishing you all Happy Thanksgivings. Mrs. Robert G. Westerman",Robert G. Westerman,Miss Elsie Weiffenbach,1910-12-25,,postcard; personal correspondence,United States; Washington; Seattle; holiday,"United States, Washington, Seattle",48.5000,-122.6333,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-03,objects/small/p-2-03_sm.jpg,objects/thumbs/p-2-03_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
p-2-04,p-2-04.pdf,,"Postcard of post office in Springfield, Massachusetts (1912)",application/pdf,"Photograph. Color. Brick building, street corner, pedestrians in foreground",Transcription Recto: Hope you are well this beautiful Sunday. Transcription Verso: Oct 27 1912. Am at 3 Tanner St. Saw Aunt Sarah + Aunt Ruth both today seems about as usual Aunt Sarah is home Clarence is going to keep house just same without her she grants me to come with Lee I may go later but the people here are nice to me so I shall stay a while any way ask Bertha if this looks natural as about a year ago we visited it together Best wishes to all you (illegible) daughter C(illegible),blank,Mrs. Sarah E Thurston,1912-10-28,,postcard; personal correspondence,United States; Rhode Island; Providence; building,"United States, Rhode Island, Portsmouth",41.6000,-71.2500,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-04,objects/small/p-2-04_sm.jpg,objects/thumbs/p-2-04_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
p-2-05,p-2-05.pdf,,Christmas postcard with greenery and clasped hands (1910),application/pdf,"Illustration. Color. Hands engaged in a handshake over holly leaves and berries in green, red, white, and holiday greeting text ",Transcription Recto: (NA). Transcription Verso: December 22-1910. Dearest Son Frank: May you always have happy (illegible) of the Day. Your loving Mother. Mrs Robert G Westerman,Robert G. Westerman,Mr. Frank Ray Westerman,1910-12-23,,postcard; personal correspondence,United States; California; San Francisco; Washington; Seattle; holiday,"United States, California, San Francisco",37.7667,-122.4167,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-05,objects/small/p-2-05_sm.jpg,objects/thumbs/p-2-05_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
p-2-06,p-2-06.pdf,,"Postcard of a totem pole in Seattle, Washington (1911)",application/pdf,"Photograph. Color. Seattle city square, indigenous style totem pole, buildings surround green, pedestrians, billboards  ",Transcription Recto: (NA). Transcription Verso: We are having fine weather and good crowds. This city has grown to be a real (illegible) (illegible) (illegible). There are some fine new hotel buildings. (illegible). ,illegible,Mrs. Geo. Welte,1911-09-23,,postcard; personal correspondence,United States; Michigan; Belding; Washington; Seattle; cityscape,"United States, Michigan, Belding",43.0833,-85.2167,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-06,objects/small/p-2-06_sm.jpg,objects/thumbs/p-2-06_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
p-2-07,p-2-07.pdf,,"Postcard with a view of Quebec City, Canada (1946)",application/pdf,Photograph. Color. View of castle and surrounding town across the water,Transcription Recto: do you wish you were here its beautiful. Transcription Verso: having a grand time it is beautiful here wish you were here. love Katie Marie - Frank,Katie Marie and Frank,Mr. Mrs. J. McDonald,1946-06-19,,postcard; personal correspondence,United States; New York; Yonkers; Quebec; Montreal; cityscape,"United States, New York, Yonkers",40.9167,-73.8833,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-07,objects/small/p-2-07_sm.jpg,objects/thumbs/p-2-07_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
p-2-08,p-2-08.pdf,,Postcard of a family at the beach with lobster joke (1910),application/pdf,Illustration. Color. Beachside scene with a boy in a red cap with a red pail (right) speaking to a seated woman in a red dress and floral hat holding reading material (magazine?) (left). Further left of the woman is a man seated on the beach holding a newspaper and wearing a sportscoat and brimmed hat,"Transcription Recto: Hello Elise. I guess I will drop you a postal for I have nothing else to do till 8'o clock because I got a date with my girl you talk about they an't any pretty girls in small towns well you should see this one she has got them all beat in Seattle. Bethel, and all the other towns, I will tell you what she looks like when I get home I also won't be home till Sunday (illegible). Transcription Verso: I am going to a mastergrade dance to-morrow night with my sweetheart, D'you Riddle? How is my Big Brother getting along tell him I am having a swell time we go to work at 7oclock and quit at seven at night (illegible) you see? (illegible) not all in at night time I (illegible) dancing the (illegible) with my girl and we get (illegible) in (illegible) she got you skinned in dancing I think we would of won if I hadn't got nervous at last, The prize was (illegible) and I needd to (illegible) Gee I was sore. Well got (illegible) Brother (illegible)",illegible,Miss Elise Weiffenbach,1910-12-14,,postcard; personal correspondence,United States; Washington; Seattle; Washington; Walla Walla; naturescape,"United States, Washington, Seattle",48.5000,-122.6333,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-08,objects/small/p-2-08_sm.jpg,objects/thumbs/p-2-08_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
p-2-09,p-2-09.pdf,,"Postcard with a view of Searsport, Maine (1908)",application/pdf,Suspected photograph. Color. A town and forest in the background situated on the edge of a body of water.,"Transcription Recto: (NA). Transcription Verso: Dear Ned:- How the wind blows, I guess you will blow away going to school. There was an bad accident here yesterday while the children were out at recess the car run over one little boy cut off his arms and "" his body in two. Baby is eating his dinner. Write when you can. (illegible) (illegible) ",illegible,Ned C Cutting,1908-11-13,,postcard; personal correspondence,United States; Maine; Warren; Maine; Camden; cityscape,"United States, Maine, Warren",44.0667,-69.2167,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-09,objects/small/p-2-09_sm.jpg,objects/thumbs/p-2-09_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
p-2-10,p-2-10.pdf,,"Postcard with a view of Acadia National Park, Maine (1948)",application/pdf,"Photograph. Color. A row of rocks, green forested hills, body of water","Transcription Recto: (NA). Transcription Verso: Friday- You've seen it, but I haven't-but you make it all right. We'll see it one of these days-Babe!  (illegible)",illegible,Miss M. Cummings,1948-10-09,,postcard; personal correspondence,United States; California; Santa Cruz; Maine; Bath; naturescape,"United States, California, Santa Cruz",36.9667,-122.0167,,Team Horse ,Juan Cobo Postcard Collection,,,p-2-10,objects/small/p-2-10_sm.jpg,objects/thumbs/p-2-10_th.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/vocab/InC-EDU/1.0/,text,English,
